Metric,Value
Accuracy,0.8666666666666667
Precision,0.967391304347826
Recall,0.839622641509434
F1,0.898989898989899
MCC,0.7212303230230749
ROC-AUC,0.9637650085763293
PR-AUC,0.9849615481522053
